tile,unit,zone,url
10SGH5797,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5797.tif
10SGH5798,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5798.tif
10SGH5799,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5799.tif
10SGH5888,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5888.tif
10SGH5889,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5889.tif
10SGH5890,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5890.tif
10SGH5891,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5891.tif
10SGH5892,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5892.tif
10SGH5893,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5893.tif
10SGH5894,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5894.tif
10SGH5895,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5895.tif
10SGH5896,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5896.tif
10SGH5897,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5897.tif
10SGH5898,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5898.tif
10SGH5899,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5899.tif
10SGH5988,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5988.tif
10SGH5989,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5989.tif
10SGH5990,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5990.tif
10SGH5991,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5991.tif
10SGH5992,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5992.tif
10SGH5993,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5993.tif
10SGH5994,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5994.tif
10SGH5995,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5995.tif
10SGH5996,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5996.tif
10SGH5997,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5997.tif
10SGH5998,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5998.tif
10SGH5999,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5999.tif
10SGH6087,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6087.tif
10SGH6088,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6088.tif
10SGH6089,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6089.tif
10SGH6090,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6090.tif
10SGH6091,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6091.tif
10SGH6092,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6092.tif
10SGH6093,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6093.tif
